islands,CONTINENT,
Gotland ,Baltic Sea islands,
Gotlands Laen,Baltic Sea islands,
Saare maakond,Baltic Sea islands,
Oland,Baltic Sea islands,
Lolland,Baltic Sea islands,
Hiiu maakond,Baltic Sea islands,
Rugen,Baltic Sea islands,
èaland main island,Baltic Sea islands,
Bornholm,Baltic Sea islands,
Kimitoon,Baltic Sea islands,
Nykoebing Falster,Baltic Sea islands,
Usedom,Baltic Sea islands,
Wolin,Baltic Sea islands,
Hailuoto,Baltic Sea islands,
Fehmarn,Baltic Sea islands,
Varmdo,Baltic Sea islands,
Mediterranean islands,Mediterranean islands,
Notio Aigaio,Mediterranean islands,
Voreio Aigaio,Mediterranean islands,
Ionioi Nisoi,Mediterranean islands,
Malta,Mediterranean islands,
Euboea,Mediterranean islands, 
Illes Balears,Mediterranean islands,
Lesbos,Mediterranean islands,
Rhodes,Mediterranean islands,
Chios,Mediterranean islands,
Minorca ,Mediterranean islands,
Kefalonia ,Mediterranean islands,
Corfu,Mediterranean islands,
Ibiza ,Mediterranean islands,
Djerba ,Mediterranean islands,
Limnos ,Mediterranean islands, 
Samos ,Mediterranean islands,
Zakynthos,Mediterranean islands,
Subarctic islands,Subarctic islands,
Subantarctic islands,Subantarctic islands,
Kuril islands,Kuriles,
Aleutians East,Aleutes,
Aleutians West,Aleutes,
New Caledonia,New Caledonia,
Bahamas,Bahamas,
Barbadoes,West Indies,
Martinique,West Indies,
Grenada,West Indies,
Guadeloupe,West Indies,
Antigua and Barbuda,West Indies,
Bioko Sur,Bioko,
Bioko Norte,Bioko,
Galapagos,Galapagos,
United States Virgin Islands,West Indies,
Canarias,Canaries,
Shetland Islands,Shetlands,
Faroe Islands,Faroes,
Saint Helena,Saint Helena,
Maldives,Maldives,
Micronesia (Federated States of),"Other Micronesia,Melanesia,Polynesia",
Melanesia,"Other Micronesia,Melanesia,Polynesia",
Polynesia,"Other Micronesia,Melanesia,Polynesia",
French Polynesia,"Other Micronesia,Melanesia,Polynesia",
Madeira Islands,Madeira,
Andaman Islands,Andamans,
Andaman and Nicobar,Nicobars,
Nicobar Islands,Nicobars,
Sundaland islands,Sundaland islands,
Azores Islands,Azores,
Mascarene,Mascarenes,
Cape Verde,Cape Verde,
Seychelles,Seychelles,
American Samoa,Samoa,
Samoa,Samoa,
Sao Tome and Principe,"Sao Tome, Principe, Annobon, Comoros",
Annobon,"Sao Tome, Principe, Annobon, Comoros",
Comoros,"Sao Tome, Principe, Annobon, Comoros",
Socotra,Socotra,
Hawaii,Hawaii,
Fiji,Fiji,
Solomon Islands,Solomons,
Vanuatu,Vanuatu,
Antarctica,Antarctica continent,
Falkland Islands (Malvinas),Subantarctic islands,
RÇunion,Mascarenes,
Mauritius,Mascarenes,
South Georgia and the South Sandwich Islands,Subantarctic islands,
Antarctic Territories,Antarctica continent,
Tonga,Tonga,
French Southern and Antarctic Territories,Subantarctic islands,
